architecture,array_demand_ratio,site_facility_demand_ratio,scenario_id,physical_replacement_dr,physical_loss_2024_usd_per_kwdc,installed_capex_physical_loss_fraction
fixed_tilt,0.0,0.0,central_screening,0.0,0.0,0.0
fixed_tilt,0.0,0.0,lower_resistance,0.0,0.0,0.0
fixed_tilt,0.0,0.0,upper_resistance,0.0,0.0,0.0
fixed_tilt,0.05,0.05,central_screening,7.214060392033969e-18,6.332471208712153e-15,5.653992150635851e-18
fixed_tilt,0.05,0.05,lower_resistance,1.0292263934294582e-15,9.034505049106057e-13,8.066522365273265e-16
fixed_tilt,0.05,0.05,upper_resistance,3.4345335807186716e-20,3.0148188167751115e-17,2.691802514977778e-20
fixed_tilt,0.1,0.1,central_screening,1.0135454529846612e-11,8.89685842779158e-09,7.943623596242482e-12
fixed_tilt,0.1,0.1,lower_resistance,4.504654749192309e-10,3.9541665794685856e-07,3.5305058745255227e-10
fixed_tilt,0.1,0.1,upper_resistance,1.5897561399659572e-13,1.3954811074667795e-10,1.2459652745239102e-13
fixed_tilt,0.15,0.15,central_screening,7.46016147634747e-09,6.548497682869338e-06,5.846872931133337e-09
fixed_tilt,0.15,0.15,lower_resistance,1.8360988766102626e-07,0.0001611719703001409,1.439035449108401e-07
fixed_tilt,0.15,0.15,upper_resistance,2.2929027218008926e-10,2.012700155132485e-07,1.7970537099397188e-10
fixed_tilt,0.2,0.2,central_screening,4.0087558999905955e-07,0.00035188687008327294,3.141847054314937e-07
fixed_tilt,0.2,0.2,lower_resistance,6.973165057123086e-06,0.006121014319008165,5.46519135625729e-06
fixed_tilt,0.2,0.2,upper_resistance,1.9276737782710433e-08,1.6921037581235263e-05,1.5108069268960057e-08
fixed_tilt,0.25,0.25,central_screening,6.120884771017327e-06,0.005372886346656105,4.797219952371522e-06
fixed_tilt,0.25,0.25,lower_resistance,8.15563205169447e-05,0.07158978765028624,6.391945325918414e-05
fixed_tilt,0.25,0.25,upper_resistance,4.0738130105766176e-07,0.0003575975552913272,3.192835315101136e-07
fixed_tilt,0.3,0.3,central_screening,4.526223872278045e-05,0.03973099863016976,3.5474105919794426e-05
fixed_tilt,0.3,0.3,lower_resistance,0.0004705030135932374,0.41300552328082724,0.0003687549315007386
fixed_tilt,0.3,0.3,upper_resistance,3.9033471546403824e-06,0.0034263413571728714,3.059233354618635e-06
fixed_tilt,0.35,0.35,central_screening,0.00020879747294974495,0.1832815244194713,0.0001636442182316708
fixed_tilt,0.35,0.35,lower_resistance,0.0017118662893887266,1.5026688718449495,0.0013416686355758477
fixed_tilt,0.35,0.35,upper_resistance,2.2500566826763926e-05,0.019750900861257362,1.763473291183693e-05
fixed_tilt,0.4,0.4,central_screening,0.0006919027083489163,0.6073492238417684,0.0005422760927158646
fixed_tilt,0.4,0.4,lower_resistance,0.0045560681417242165,3.9992970344769785,0.0035708009236401594
fixed_tilt,0.4,0.4,upper_resistance,9.096308226240947e-05,0.07984700268360476,7.129196668178996e-05
fixed_tilt,0.45,0.45,central_screening,0.0018004976152062463,1.5804690687422736,0.0014111330970913156
fixed_tilt,0.45,0.45,lower_resistance,0.009764492663697295,8.571229695945274,0.007652883657093994
fixed_tilt,0.45,0.45,upper_resistance,0.00028302399629931456,0.24843724761704566,0.00022181897108664793
fixed_tilt,0.5,0.5,central_screening,0.003910730111155051,3.4328220846721775,0.0030650197184573015
fixed_tilt,0.5,0.5,lower_resistance,0.017977561981389518,15.780626646222188,0.014089845219841239
fixed_tilt,0.5,0.5,upper_resistance,0.0007210066511114094,0.6328965397204939,0.0005650861961790124
fixed_tilt,0.55,0.55,central_screening,0.007407158935251099,6.501972280080642,0.005805332392929144
fixed_tilt,0.55,0.55,lower_resistance,0.029718180539972446,26.08649116002565,0.023291509964308614
fixed_tilt,0.55,0.55,upper_resistance,0.00157154160717203,1.3794924688597263,0.0012316897043390413
fixed_tilt,0.6,0.6,central_screening,0.012635579472643236,11.091457357948165,0.009903086926739434
fixed_tilt,0.6,0.6,lower_resistance,0.04545214681822346,39.89769914019352,0.03562294566088707
fixed_tilt,0.6,0.6,upper_resistance,0.0030281503410811953,2.658097355509117,0.002373301210275997
fixed_tilt,0.65,0.65,central_screening,0.019887337367857697,17.457019272941956,0.015586624350841032
fixed_tilt,0.65,0.65,lower_resistance,0.06561145628822711,57.593454355561725,0.05142272710318011
fixed_tilt,0.65,0.65,upper_resistance,0.0052885524510144465,4.642268613220029,0.004144882690375026
fixed_tilt,0.7,0.7,central_screening,0.029408283765300167,25.814465103042274,0.023048629556287743
fixed_tilt,0.7,0.7,lower_resistance,0.09055014891263582,79.48453156381123,0.07096833175340289
fixed_tilt,0.7,0.7,upper_resistance,0.008535808504975439,7.492696021858141,0.00668990716237334
fixed_tilt,0.75,0.75,central_screening,0.04141464447166644,36.35359693210658,0.03245856868938088
fixed_tilt,0.75,0.75,lower_resistance,0.12046013655935486,105.73939017782166,0.09441016980162649
fixed_tilt,0.75,0.75,upper_resistance,0.012928652084583016,11.348715237189106,0.010132781461775988
fixed_tilt,0.8,0.8,central_screening,0.056100875585676425,49.24510748788943,0.04396884597132985
fixed_tilt,0.8,0.8,lower_resistance,0.15529269037499832,136.3152562195098,0.12171005019599089
fixed_tilt,0.8,0.8,upper_resistance,0.018601218019252522,16.32806923601086,0.01457863324643827
fixed_tilt,0.85,0.85,central_screening,0.07363363356261556,64.63528709061136,0.057710077759474426
fixed_tilt,0.85,0.85,lower_resistance,0.19471895617380366,170.92346289790933,0.15261023473027618
fixed_tilt,0.85,0.85,upper_resistance,0.0256687697634034,22.531935783252273,0.020117799806475243
fixed_tilt,0.9,0.9,central_screening,0.09413432470435008,82.63070567029033,0.07377741577704493
fixed_tilt,0.9,0.9,lower_resistance,0.23814033587979244,209.0385633944838,0.18664157445936053
fixed_tilt,0.9,0.9,upper_resistance,0.034234919325090714,30.05126505429724,0.026831486655622534
fixed_tilt,0.95,0.95,central_screening,0.11765709928082614,103.27889610116681,0.09221330009032751
